conversation,class
혐오스러운 우리 회사에 기분 나쁜 동료가 있어서 불편해. 회사 동료에게 무슨 일이 있으셨나요? 우리 부서 직원이 성추행으로 징계받은 거 있지. 정말 혐오스럽고 너무 불편해. 동료 때문에 마음이 편치 않으시군요.,일반
혼란스러운 오늘 동생 방에 들어갔는데 너무 어지럽고 정리가 안 되어 있어서 혼란스러웠어. 동생 방이 정리가 안 되어 있어서 많이 혼란스러웠겠군요. 응. 그래서 동생이 방을 깨끗하게 정리하면 좋겠다고 생각해. 그럼 어떻게 동생이 방을 정리할 수 있을까요? 내가 같이 도와주면서 재미있게 방을 정리하면 좋을 것 같아.,일반
걱정스러운 요즘 시대에는 백세를 넘어 백이십 세를 살 수 있다고 하는데 난 충분한 돈이 없어서 불안해. 수명이 길어진 시대를 살아가기에 돈이 부족할까 봐 불안하시군요. 아직도 몇십 년을 더 살아야 한다는 건데 그만한 돈을 저축해두지 못해서 걱정이 돼. 지금의 기분에서 벗어나려면 어떻게 하는 게 좋을까요? 구직 사이트에 가입해서 노년층이 일할 만한 직업을 찾아봐야겠어.,일반
당황 미래에 의사가 되고 싶은데 중학교 중퇴 결정을 한 것이 잘못한 일이라는 생각이 들어. 중학교 중퇴 결정으로 의사가 되지 못할 것 같아 후회가 되시는군요. 미래 진로를 위해서 좀 더 신중하게 결정했어야 하는데 그러지 못한 것 같아 죄책감이 들어. 신중하게 결정하지 못한 것 같아 스스로 죄책감이 드시는군요. 어떻게 하면 좋을까요? 부모님과 진지하게 얘기해보고 검정고시나 다시 중학교에 입학하는 것을 고려해 볼 생각이야.,일반
짜증내는 딸이 내가 싫어하는 걸 알면서 아이돌 음반을 사겠다고 돈을 달라 해. 싫어하는 걸 알면서도 아이돌 음반을 사겠다고 돈을 달라해 화가 나시겠어요. 공부는 안 하고 온종일 아이돌 영상만 보고 정말 속에서 열불이 나. 어떻게 하면 좋을까? 딸의 행동을 변화시킬 방법이 있을까요? 딸에게 아이돌보단 다른 관심사를 두면 어떻겠냐고 이야기를 해봐야겠어.,일반
편안한 은퇴 후 모임에서 독거노인을 뵈러 갈 때마다 내가 도와줄 수 있음에 감사해. 감사하고 기쁘시겠어요. 은퇴하면 쓸데없는 사람이 될 줄 알았어. 어떻게 하면 더 나아갈 수 있을까요? 지금 하고 있는 것 외에 할 수 있는 걸 찾아봐야겠어.,일반
당혹스러운 친구에게 돈을 빌렸는데 약속했던 날짜보다 더 빨리 갚아달라고 연락이 왔어. 너무 빨리 갚으라고 해서 당혹스러워. 친구 분께서 빌려간 돈을 약속했던 날짜보다 더 빨리 갚아달라고 하셔서 당황스러우시군요. 약속했던 날짜보다 다섯 달이나 더 빨리 갚아달라고 하니 어떻게 갚아야 할지 너무 막막해. 경제적인 상황으로 막막함을 느끼시는군요. 지금 상황에서 할 수 있는 가장 좋은 방법이 무엇일까요? 아무래도 친구 녀석이 급해 보이니 부모님께 부탁드려서라도 돈을 빨리 갚아줘야겠어. 부모님께 잘 부탁 드려봐야지.,일반
당혹스러운 막내 직원에게 한소리를 하면 울기만 하니 너무 당혹스러워. 막내 직원이 울어 너무 당혹스럽겠어요. 잘못을 지적해주면 고칠 생각은 하지 않고 울기만 하니 어떻게 해야 할지 모르겠어. 이전에 같은 사건이 발생했을 때 어떻게 행동하셨어요? 그냥 달래주기만 했어.,일반
혼란스러운 나 오늘 학교 갔다 왔는데 혼란스러운 일이 생겼어. 학교에서 혼란스러울 만한 일이 있었나요? 내가 서울대를 넣은 줄 알았는데 서강대로 넣었어. 학교에서 대학 이름을 잘못 넣어서 혼란스러우시군요.,일반
괴로워하는 요사이 건강이 좋지 않아져서 일상이 힘에 부치네.  이런 무력감을 이야기하면서 나눌 만한 분이 계실까요? 자녀들과 이런 이야기를 하면 도리어 불편해 해서 꺼내기가 조심스러워.  건강 회복을 위해서라면 해 볼 수 있는 다른 일이 있을까요? 가봤는데 괜찮다고 하면서 약 처방만 해줘. 괴로운 마음을 알아주는 가까운 사람도 없고 참 쓸쓸하네. 아이들은 내 마음을 잘 몰라주고 말이야.,일반
