class,conversation
일반,너 저번에 갯벌 체험 다녀왔다며? 어땠어? 응 정말 재밌었어 게랑 조개도 잡고 다양한 생물들을 봤어 와 신기했겠다 근데 갯벌이 자주 사라진다고 하던데 맞아 간척 사업이나 오염 때문에 갯벌이 위험하대 그렇구나 갯벌이 왜 중요한 거야? 갯벌은 다양한 생물의 서식지이자 자연 정화 기능도 있대 그리고 철새들의 중간 기착지 역할도 한다고 해 몰랐네 갯벌을 보호하는 게 정말 중요하겠다 맞아 우리도 갯벌에 갈 땐 조심히 다녀와야겠어
일반,물고기 키우는 거 좋아하지? 응 근데 요즘 수족관 관리가 힘들어. 왜? 뭐가 문제야? 물이 자꾸 탁해져서. 필터 교체해봤어? 했는데도 별로 효과가 없어. 음... 조명은 어때? 너무 강하면 이끼가 생길 수 있대. 아 그런가? 조명 시간을 줄여볼게. 그리고 정기적으로 물도 일부 갈아줘야 해. 알겠어 고마워. 네가 물고기 키우는 데 도움 많이 되네.
일반,요즘 로컬푸드 많이 사 먹는다면서? 응 근처 직거래 장터에서 사. 어때? 신선하고 맛있어? 응 생각보다 맛있어. 가격은 어때? 슈퍼보다 조금 비싸긴 한데 품질이 좋아. 그렇구나. 환경에도 좋겠다. 맞아 운송 거리가 짧으니까. 농부님들한테도 도움되고. 나도 한번 가볼까? 같이 가자. 이번 주말에 열려. 좋아 기대된다!
일반,이번에 제주도 가서 성산일출봉 봤어? 응 일출 보러 갔었어. 어땠어? 장관이더라. 화산재가 쌓여서 만들어졌대. 와 멋있었겠다. 응 분화구 모양이 독특해. 그 주변에 주상절리도 있지 않아? 맞아 수월봉에서 봤어. 제주도가 화산 지형의 박물관이네. 그러게. 다음엔 나도 가봐야겠다.
일반,"산책하다가 다친 새를 본 적 있어? 응, 예전에 날개 다친 참새를 본 적 있어. 어떻게 했어? 근처 동물병원에 데려갔지. 다행히 치료받고 방생했어. 진짜 좋은 일 했다! 나도 그런 상황 생기면 도와줘야겠다. 응! 작은 생명도 소중하니까 우리도 신경 써야 해."
일반,"너네 집 화분 잘 크고 있어? 아니, 나 키우던 허브 다 죽었어. 어떻게 관리했는데? 햇빛도 주고 물도 줬는데 이상하게 말라가더라. 혹시 물을 너무 자주 준 거 아냐? 그런가? 매일 줬는데... 허브는 과습하면 뿌리 썩을 수도 있어. 조금씩 덜 줘봐. 아, 그렇구나. 다음엔 신경 써서 키워봐야겠다."
일반,요즘 친환경 화장품 쓴다면서? 응 플라스틱 용기 줄이려고. 효과는 어때? 피부에 자극도 덜 하고 좋아. 가격은 비싸지 않아? 조금 비싸긴 한데 가치 있다고 생각해. 리필 스테이션도 있대. 오 그런 것도 있어? 응 용기 재사용하는 거야. 나도 한번 써볼까? 추천해 피부에도 환경에도 좋을 거야. 작은 변화로 시작하는 거지.
일반,여보 우리 집 앞 가로수가 요즘 예쁘게 피었더라구요. 맞아요 벚꽃이 만개해서 정말 아름답더라고요. 도시 녹지가 있어서 참 좋아요. 그러게요 도시에 나무가 있으니까 공기도 좋아지고 보기도 좋고요. 가로수 덕분에 도시가 훨씬 살기 좋아진 것 같아요. 맞아요 나무가 있으니까 도시가 훨씬 쾌적해졌어요.
일반,요즘 도시농업이 뜨고 있다면서? 응 맞아. 베란다나 옥상에서 채소를 기르는 사람들이 많아졌어. 난 농사가 어려울 것 같던데 괜찮아? 생각보다 어렵지 않아. 키트나 모종을 사서 시작하면 돼. 그렇구나. 어떤 채소들을 주로 키워? 상추 방울토마토 고추 같은 것들이 인기 있어. 신선한 채소를 직접 길러 먹을 수 있겠네. 응 건강에도 좋고 취미 활동으로도 좋아. 나도 한번 시작해볼까? 그래 해봐. 재미있을 거야.
일반,요즘 채식하는 사람들이 많더라. 너는 어떻게 생각해? 나도 채식 좀 해보려고 해 건강에도 좋고 환경에도 도움이 된다고 하니까. 맞아! 육류 생산 과정에서 많은 자원이 낭비되니까 채식은 좋은 선택인 것 같아.
일반,"비가 올 것 같은데 우산 챙겼어? 어? 아침에는 맑더니 갑자기 흐려졌네. 요즘 날씨 진짜 종잡을 수가 없다니까. 그러니까. 기상청도 예측이 힘들겠다. 이러다 기후 변화로 사계절 사라지는 거 아니야? 이미 봄, 가을은 거의 없어진 거 같아. 맞아. 작년에도 가을 거의 안 느껴지고 겨울 됐잖아. 이러다가 진짜 이상기후가 더 심해질까 걱정된다."
일반,"집에서 음식물 쓰레기 줄이는 방법 뭐 있을까? 남길 만큼만 요리하는 게 제일 중요하지. 맞아, 그리고 남은 음식은 최대한 보관해서 다시 먹고. 난 음식물 쓰레기 줄이려고 장바구니 리스트 미리 작성해. 좋은 방법이네. 필요 없는 걸 덜 사게 되겠어. 응, 계획적으로 소비하는 게 환경에도 좋아."
일반,어제 일기예보 보니까 이번 주말에 비 온대 진짜? 여행 가려고 했는데 아쉽다 그러게 우산 꼭 챙겨야겠다 응 그래도 비 오는 여행지도 나름 운치 있을 것 같아 그러네 비 오는 날 카페에서 창밖 보는 것도 좋지 그럼 실내에서 즐길 수 있는 코스로 짜보자 좋아 좋은 생각이야
