idx,class,conversation

1, 일반, "엄마, 이번 주말에 가족 여행 갈까요? 좋은 생각이네. 어디로 갈까? 제주도 어때요? 비행기 표가 비쌀 것 같은데. 그럼 근교로 갈까? 가평은 어때요? 좋아, 숙소도 알아보고 맛집도 찾아보자. 알겠어요, 제가 찾아볼게요. 그래, 고마워. 이번 여행 정말 기대되네."

2, 일반, "아빠, 주말에 시간 있으세요? 응, 왜 그러니? 같이 낚시 가고 싶어서요. 오, 좋은 생각이구나. 어디로 갈까? 청평호 어때요? 좋아. 장비는 내가 준비할게. 미끼는 제가 살게요. 그래, 고마워. 오랜만에 아빠랑 둘이 가네. 네, 정말 기대돼요!"

3, 일반, "누나, 요즘 어떻게 지내? 바빠서 정신없이 지내. 너는? 나도 학교랑 알바로 바빠. 가족들이랑 시간 보내기 힘들지? 맞아, 다들 각자 바쁘더라고. 이번 주말에 다 같이 영화 보는 건 어때? 좋은 생각이다. 뭐 볼까? 액션 영화 어때? 좋아, 예매는 내가 할게. 간식은 내가 준비할게. 알았어, 기대된다!"

4, 일반, "할머니, 요새 건강은 어떠세요? 허리가 좀 아프구나. 병원에 가보셨어요? 아니, 괜찮을 거야. 제가 모시고 갈까요? 그래주면 고맙지. 내일 아침에 올게요. 알았다, 고마워. 검진 끝나고 맛있는 거 먹으러 가요. 그래, 좋구나. 할머니랑 오랜만에 데이트네요. 그러게, 할미가 기대되는구나."

5, 일반, "형, 이번에 승진했다며? 축하해! 고마워. 네 덕분이야. 내가 뭘 했다고. 항상 응원해줘서 힘이 났어. 당연하지. 형 노력한 걸 나도 잘 알잖아. 고마워. 이번 주말에 시간 돼? 응, 왜? 한턱 쏘고 싶어서. 오, 좋지! 어디서 만날까? 신사동 맛집 어때? 좋아, 기대된다!"

6, 일반, "언니, 이번 주말에 결혼식이지? 응, 그래. 긴장되니? 많이. 도와줄 일 있어? 당연하지. 뭐가 필요해? 들러리 드레스 고르는 거 도와줄래? 그래, 기꺼이. 언제 갈까? 내일 저녁은 어때? 좋아. 7시에 만나자. 고마워, 든든하다. 당연하지. 언니 결혼식, 정말 기대돼."

